canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,16,TRAN ID
communication_type,4,COMMUNICATION TYPE,3,COMMUNICATION TYPE
communication_type_description,5,COMMUNICATION TYPE - OTHER DESCRIPTION,4,TRANSDESC (Comm. Descrip)
communication_class,6,COMMUNICATION CLASS,5,COMMUNICATION CLASS
communication_date,7,COMMUNICATION DATE,6,DATE  (Of Communication)
communication_cost,8,COMMUNICATION COST (per candidate),14,COST OF COMMUNICATION
election_code,9,ELECTION CODE,13,RPTPGI
election_other_description,10,ELECTION OTHER DESCRIPTION ,,
support_oppose_code,11,SUPPORT/OPPOSE ,7,SUPPORT/OPPOSE 
candidate_id_number,12,S/O CANDIDATE ID NUMBER,8,FEC CANDIDATE ID NUMBER
candidate_name,,,9,CANDIDATE NAME
candidate_last_name,13,S/O CANDIDATE LAST NAME,,
candidate_first_name,14,S/O CANDIDATE FIRST NAME,,
candidate_middle_name,15,S/O CANDIDATE MIDDLE NAME,,
candidate_prefix,16,S/O CANDIDATE PREFIX,,
candidate_suffix,17,S/O CANDIDATE SUFFIX,,
candidate_office,18,S/O CANDIDATE OFFICE,10,CAN/OFFICE
candidate_state,19,S/O CANDIDATE STATE ,11,CAN/STATE  
candidate_district,20,S/O CANDIDATE DISTRICT,12,CAN/DIST
