canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3,,^5.2|5.1|5.0,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,,,,,,
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID
lender_organization_name,5,LENDER ORGANIZATION NAME,5,NAME (Loan Source),5,NAME (Loan Source),5,NAME (Loan Source)
lender_street_1,6,LENDER STREET  1,6,STREET  1,6,STREET  1,6,STREET  1
lender_street_2,7,LENDER STREET  2,7,STREET  2,7,STREET  2,7,STREET  2
lender_city,8,LENDER CITY,8,CITY,8,CITY,8,CITY
lender_state,9,LENDER STATE,9,STATE,9,STATE,9,STATE
lender_zip,10,LENDER ZIP,10, ZIP,10, ZIP,10, ZIP
loan_amount,11,LOAN AMOUNT,11,AMT OF LOAN,11,AMT OF LOAN,11,AMT OF LOAN
loan_interest_rate,12,LOAN INTEREST RATE %,12,LOAN INTEREST RATE PERCENT,12,LOAN INTEREST RATE PERCENT,12,LOAN INTEREST RATE PERCENT
loan_incurred_date,13,LOAN INCURRED DATE,13,DATE (Incurred),13,DATE (Incurred),13,DATE (Incurred)
loan_due_date,14,LOAN DUE DATE,14,DATE  (Due),14,DATE  (Due),14,DATE  (Due)
loan_restructured,15,A1.YES/NO (Loan Restructured?),15,A1.YESNO (Loan Restructured),15,A1.YESNO (Loan Restructured),15,A1.YESNO (Loan Restructured)
loan_inccured_date_original,16,A2. LOAN INCCURED DATE (Original),16,A2. DATE (Of Original Loan),16,A2. DATE (Of Original Loan),16,A2. DATE (Of Original Loan)
credit_amount_this_draw,17,B.1. CREDIT AMOUNT THIS DRAW,17,B.1. CREDIT AMOUNT THIS DRAW,17,B.1. CREDIT AMOUNT THIS DRAW,17,B.1. CREDIT AMOUNT THIS DRAW
total_balance,18,B.2. TOTAL BALANCE,18,B.2. TOTAL BALANCE,18,B.2. TOTAL BALANCE,18,B.2. TOTAL BALANCE
others_liable,19,C. YES/NO (Others liable?),19,C. YESNO (Others liable?),19,C. YESNO (Others liable?),19,C. YESNO (Others liable?)
collateral,20,D. YES/NO (Collateral?),20,D. YESNO (Collateral?),20,D. YESNO (Collateral?),20,D. YESNO (Collateral?)
description,21,D.1 DESCRIPTION  (IF YES SPECIFY),21,D.1 DESC (Collateral),21,D.1 DESC (Collateral),21,D.1 DESC (Collateral)
collateral_value_amount,22,D.2 COLLATERAL VALUE/AMOUNT,22,D.2 COLLATERAL VALUE/AMOUNT,22,D.2 COLLATERAL VALUE/AMOUNT,22,D.2 COLLATERAL VALUE/AMOUNT
perfected_interest,23,D.3 YES/NO  (Perfected Interest?),23,D.3 YESNO  (Perfected Interest?)),23,D.3 YESNO  (Perfected Interest?)),23,D.3 YESNO  (Perfected Interest?))
future_income,24,E.1 YES/NO  (Future Income?),24,E.1 YESNO  (Future Income),24,E.1 YESNO  (Future Income),24,E.1 YESNO  (Future Income)
description,25,E.2  DESCRIPTION  (IF YES SPECIFY),25,E.2  DESC  (Specification of the above),25,E.2  DESC  (Specification of the above),25,E.2  DESC  (Specification of the above)
estimated_value,26,E.3 ESTIMATED VALUE,26,E.3 ESTIMATED VALUE,26,E.3 ESTIMATED VALUE,26,E.3 ESTIMATED VALUE
established_date,27,E.4 ESTABLISHED DATE (Depository account),27,E.4 DATE (Depository account established),27,E.4 DATE (Depository account established),27,E.4 DATE (Depository account established)
account_location_name,28,E.5 ACCOUNT LOCATION NAME,28,E.5 IND/NAME (Account Location),28,E.5 IND/NAME (Account Location),28,E.5 IND/NAME (Account Location)
street_1,29,E.6 STREET  1,29,E.6 STREET  1,29,E.6 STREET  1,29,E.6 STREET  1
street_2,30,E.7 STREET  2,30,E.7 STREET  2,30,E.7 STREET  2,30,E.7 STREET  2
city,31,E.8 CITY,31,E.8 CITY,31,E.8 CITY,31,E.8 CITY
state,32,E.9 STATE,32,E.9 STATE,32,E.9 STATE,32,E.9 STATE
zip,33,E.10 ZIP,33,E.10 ZIP,33,E.10 ZIP,33,E.10 ZIP
deposit_acct_auth_date_presidential,34,E.11 DEPOSIT ACCT AUTH DATE (Presidential),34,E.11 DEP ACCT AUTH DATE (Presidential),34,E.11 DEP ACCT AUTH DATE (Presidential),34,E.11 DEP ACCT AUTH DATE (Presidential)
f_basis_of_loan_description,35,F. BASIS OF LOAN DESCRIPTION,35,F. DESC (State basis of loan),35,F. DESC (State basis of loan),35,F. DESC (State basis of loan)
treasurer_name,,,36,G. NAME/TREASURER (as signed),36,G. NAME/TREASURER (as signed),36,G. NAME/TREASURER (as signed)
treasurer_last_name,36,G. TREASURER LAST NAME,,,,,,
treasurer_first_name,37,G. TREASURER FIRST NAME,,,,,,
treasurer_middle_name,38,G. TREASURER MIDDLE NAME,,,,,,
treasurer_prefix,39,G. TREASURER PREFIX,,,,,,
treasurer_suffix,40,G. TREASURER SUFFIX,,,,,,
date_signed,41,G. DATE SIGNED,37,G. SIG/DATE,37,G. SIG/DATE,37,G. SIG/DATE
authorized_name,,,38,H. NAME/AUTH (as signed),38,H. NAME/AUTH (as signed),38,H. NAME/AUTH (as signed)
authorized_last_name,42,H. AUTHORIZED LAST NAME,,,,,,
authorized_first_name,43,H. AUTHORIZED FIRST NAME,,,,,,
authorized_middle_name,44,H. AUTHORIZED MIDDLE NAME,,,,,,
authorized_prefix,45,H. AUTHORIZED PREFIX,,,,,,
authorized_suffix,46,H. AUTHORIZED SUFFIX,,,,,,
authorized_title,47,H. AUTHORIZED TITLE,39,H. AUTH/TITLE  ,39,H. AUTH/TITLE  ,39,H. AUTH/TITLE  
date_signed,48,H. DATE SIGNED,40,H. AUTH/SIG DATE,40,H. AUTH/SIG DATE,40,H. AUTH/SIG DATE
entity_type,,,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE
