canonical,^8.0|7.0|6.4,,^6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID 
change_of_committee_name,3,CHANGE OF COMMITTEE NAME,3,CHANGE OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME
committee_name,4,COMMITTEE NAME,4,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
change_of_address,5,CHANGE OF ADDRESS,5,CHANGE OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS
street_1,6,STREET 1,6,STREET 1,4,STREET 1,4,STREET 1
street_2,7,STREET 2,7,STREET 2,5,STREET 2,5,STREET 2
city,8,CITY,8,CITY,6,CITY,6,CITY
state,9,STATE,9,STATE,7,STATE,7,STATE
zip,10,ZIP,10,ZIP,8,ZIP,8,ZIP
change_of_committee_email,11,CHANGE OF COMMITTEE EMAIL,11,CHANGE OF COMMITTEE EMAIL,,,,
committee_email,12,COMMITTEE EMAIL,12,COMMITTEE EMAIL,61,COMMITTEE EMAIL,61,COMMITTEE EMAIL
change_of_committee_url,13,CHANGE OF COMMITTEE WEB URL,13,CHANGE OF COMMITTEE WEB URL,,,,
committee_url,14,COMMITTEE WEB URL,14,COMMITTEE WEB URL,62,COMMITTEE WEB URL,62,COMMITTEE WEB URL
committee_fax_number,,,,,63,COMMITTEE FAX NUMBER,,
effective_date,15,EFFECTIVE DATE,15,SUBMISSION DATE,9,DATE (Submitted),9,DATE (Submitted)
signature_name,,,,,59,NAME/TREASURER (as signed),59,NAME/TREASURER (as signed)
signature_last_name,16,SIGNATURE LAST NAME,16,SIGNATURE LAST NAME,,,,
signature_first_name,17,SIGNATURE FIRST NAME,17,SIGNATURE FIRST NAME,,,,
signature_middle_name,18,SIGNATURE MIDDLE NAME,18,SIGNATURE MIDDLE NAME,,,,
signature_prefix,19,SIGNATURE PREFIX,19,SIGNATURE PREFIX,,,,
signature_suffix,20,SIGNATURE SUFFIX,20,SIGNATURE SUFFIX,,,,
date_signed,21,DATE SIGNED,21,DATE SIGNED,60,DATE  (Signed),60,DATE  (Signed)
committee_type,22,5. COMMITTEE TYPE,22,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE
candidate_id_number,23,5. CANDIDATE ID NUMBER,23,5. CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER
candidate_name,,,,,14,5. CANDIDATE NAME,14,5. CANDIDATE NAME
candidate_last_name,24,5. CANDIDATE LAST NAME,24,5. CANDIDATE LAST NAME,,,,
candidate_first_name,25,5. CANDIDATE FIRST NAME,25,5. CANDIDATE FIRST NAME,,,,
candidate_middle_name,26,5. CANDIDATE MIDDLE NAME,26,5. CANDIDATE MIDDLE NAME,,,,
candidate_prefix,27,5. CANDIDATE PREFIX,27,5. CANDIDATE PREFIX,,,,
candidate_suffix,28,5. CANDIDATE SUFFIX,28,5. CANDIDATE SUFFIX,,,,
candidate_office,29,5. CANDIDATE OFFICE ,29,5. CANDIDATE OFFICE ,15,5. CAN/OFFICE ,15,5. CAN/OFFICE 
candidate_state,30,5. CANDIDATE STATE,30,5. CANDIDATE STATE,16,5. CAN/STATE,16,5. CAN/STATE
candidate_district,31,5. CANDIDATE DISTRICT,31,5. CANDIDATE DISTRICT,17,5. CAN/DIST,17,5. CAN/DIST
party_code,32,5. PARTY CODE,32,5. PARTY CODE,18,5. PARTY CODE,18,5. PARTY CODE
party_type,33,5. PARTY TYPE,33,5. PARTY TYPE,19,5. PARTY TYPE,19,5. PARTY TYPE
organization_type,34,5 (e). ORGANIZATION TYPE,34,5 (e). ORGANIZATION TYPE,28,6. ORGANIZATION TYPE,28,6. ORGANIZATION TYPE
lobbyist_registrant_pac,35,5 (e). LOBBYIST/REGISTRANT PAC ,35,5 (e). LOBBYIST/REGISTRANT PAC ,,,,
lobbyist_registrant_pac_2,36,5 (f). LOBBYIST/REGISTRANT PAC ,36,5 (f). LOBBYIST/REGISTRANT PAC ,,,,
leadership_pac,37,5 (f). LEADERSHIP PAC,37,5 (f). LEADERSHIP PAC,,,,
affiliated_committee_id_number,38,6. AFFILIATED CMTTE ID NUM,38,6. AFFILIATED CMTTE ID NUM,20,6. FEC COMMITTEE ID NUMBER,20,6. FEC COMMITTEE ID NUMBER
